Desc,ID,Subj object id,Obj object id
"Laucher, verh. Stürtzel, Ursula (ID: 34) hat Ehe mit Stürtzel, Konrad (ID: 16)",10,34,16
"Brotlieb, N. (ID: 56) hat Ehe mit Brotlieb, Leonhard (ID: 20)",22,56,20
"Sigmund von Tirol, None (ID: 18) hat Ehe mit Eleonore von Schottland, None (ID: 19)",30,18,19
"Falkner, Barbara (ID: 121) hat Ehe mit Falkner, Peter (ID: 120)",61,121,120
"Vaist, Jakob (ID: 135) hat Ehe mit Vaist, Sophia (ID: 134)",68,135,134
"Katharina von Sachsen, None (ID: 189) hat Ehe mit Sigmund von Tirol, None (ID: 18)",102,189,18
"Senng, verh. Spieß, Anna (ID: 300) hat Ehe mit Spieß vom Spieß, Leopold (ID: 294)",227,300,294
"Simonetta, Hippolyta (ID: 343) hat Ehe mit Matsch, Gaudenz von (ID: 51)",277,343,51
"Rüssegg, N. von (ID: 661) hat Ehe mit Rüssegg zu Roggenbach, Jakob von (ID: 302)",543,661,302
"Scheiber, Sebastian (ID: 667) hat Ehe mit Scheiber (Frau des Sebastian Scheiber), N. (ID: 668)",549,667,668
"Eberstein (Frau des Hans Eberstein, genannt Horneck), N. von (ID: 695) hat Ehe mit Eberstein, genannt Horneck, Hans von (ID: 581)",581,695,581
"Seger, Hieronymus (ID: 611) hat Ehe mit Seger, N. (ID: 733)",660,611,733
"Überlinger, Hans (ID: 604) hat Ehe mit Überlinger, N. (weiblich) (ID: 738)",667,604,738
"Bock (Frau des Kaspar Bock), N. (ID: 735) hat Ehe mit Bock, Kaspar (ID: 645)",681,735,645
"N., Clara (ID: 957) hat Ehe mit Reutlinger, Hans (ID: 956)",962,957,956
"Wolkenstein-Trostburg, Margarethe von (ID: 958) hat Ehe mit Niedertor, Arnold von (ID: 228)",963,958,228
"Vögler, verh. Dieperskircher, Dorothea (ID: 1115) hat Ehe mit Dieperskircher (der Jüngere), Georg (ID: 994)",1169,1115,994
"Liechtenstein, Bartholomäus von (ID: 1117) hat Ehe mit Vögler, verh. von Liechtenstein, Barbara (ID: 1116)",1174,1117,1116
"Fuchs von Fuchsberg, Dorothea (ID: 1126) hat Ehe mit Fuchs von Fuchsberg, Wolfhart (ID: 1124)",1184,1126,1124
"Fuchs von Fuchsberg, Margarethe (ID: 1128) hat Ehe mit Fuchs von Fuchsberg, Georg (ID: 1127)",1185,1128,1127
"N., Anna (ID: 1265) hat Ehe mit Kronmetz, Hans von (ID: 1264)",1397,1265,1264
"Lichtenberg, verh. von Spaur, Verena von (ID: 1267) hat Ehe mit Spaur (der Ältere), Hans von (ID: 1266)",1399,1267,1266
"Rietenburger, Margarethe (ID: 1272) hat Ehe mit Rietenburger, Ernst (ID: 1271)",1407,1272,1271
"Weineck, Katharina von (ID: 1275) hat Ehe mit Weineck, Leonhard von (ID: 954)",1411,1275,954
"N. (Frau Konrad Vintlers), N. (ID: 1279) hat Ehe mit Vintler, Konrad (ID: 21)",1415,1279,21
"Laubenberg, N. von (ID: 1405) hat Ehe mit Laubenberg, Kaspar von (ID: 222)",1616,1405,222
"Vernstet, verh. von Freyberg, Johanna von (ID: 179) hat Ehe mit Freyberg (der Jüngere), Michael von (ID: 187)",1971,179,187
"Kripp, Ursula (ID: 1620) hat Ehe mit Kripp, Jakob (ID: 1619)",1981,1620,1619
"N. (Frau des Konrad Teubler), N. (ID: 1629) hat Ehe mit Teubler, Konrad (ID: 1628)",1998,1629,1628
"Molveno, N. (ID: 1664) hat Ehe mit Mussatus, Hieronymus (ID: 1613)",2045,1664,1613
"Stürtzel, Konrad (ID: 16) hat Ehe mit Griesser, verh. Stürtzel, Elisabeth (ID: 1983)",2440,16,1983
"Stern, Sigmund (ID: 2018) hat Ehe mit Stern, Margarethe (ID: 2019)",2509,2018,2019
"Hard, Friedrich von (ID: 2022) hat Ehe mit Lichtenberg, verh. Hard, Barbara von (ID: 2021)",2510,2022,2021
"Ivano, Laura von (ID: 2052) hat Ehe mit Ivano, Jakob von (ID: 2050)",2567,2052,2050
"Käl, Margarete (ID: 2145) hat Ehe mit Wolkenstein-Rodenegg (der Jüngere), Sigmund von (ID: 346)",2795,2145,346
"N. (Frau des Konrad von Sal), N. (ID: 2159) hat Ehe mit Sal, Konrad von (ID: 886)",2823,2159,886
"Händler, verh. Pfannholz, Helena (ID: 2208) hat Ehe mit Pfannholz, genannt Sagmeister, Michael (ID: 2206)",2884,2208,2206
"Rasp, verh. Rindsmaul, Dorothea (ID: 2228) hat Ehe mit Rindsmaul, Albrecht (ID: 2227)",2912,2228,2227
"Klammer, Christoph (ID: 2237) hat Ehe mit Klammer, Margarethe (ID: 2236)",2922,2237,2236
"Sattler, Walpurga (ID: 2279) hat Ehe mit Sattler, Konrad (ID: 2278)",2971,2279,2278
"Auer, Barbara (ID: 2380) hat Ehe mit Auer, Michael (ID: 131)",3118,2380,131
"Poden, verh. Auer, Margarethe (ID: 2385) hat Ehe mit Auer, Michael (ID: 131)",3125,2385,131
"Poden, Magdalena von (ID: 2387) hat Ehe mit Poden, Hans von (ID: 2386)",3130,2387,2386
