Name,Vorname,Start,End,Alternative Namen,Status,ID,Geschlecht
Aargau,Jörg von,,,Arga,,13380,männlich
"Ab der Halden, genannt Ges",Ulrich,,,,,5067,männlich
"Ab der Tannen, genannt Yx",Sigmund,,,"ab der Tanen
zw der Tann, genant Ÿx",,13291,männlich
Abelsberg,Michael von,,,Abelsperg,,1198,männlich
Abensberg,Hans von,,,Abensperg,,13231,männlich
Abensdorfer,Hans,,,"Abmstorffer
Anndorffer",,7358,männlich
Abenteurer,Adrian,,,"Abentewrer
(Andreas?)
Abentewerer von Lanczhuet",,5631,männlich
Abenteurer,Jakob,,,"Abentewrer von Hellffenstain
Abentewrer von Helffnstain
Abenteͤurer
Abentewrer",,9709,männlich
Abenteurer,Matthias,,,"Anbentewrer
Abentewrer",,3809,männlich
Abenteurer,Walther,,,Abentewͤrer,,7335,männlich
Aberzenster,Martin,,,,,13025,männlich
"Abli, genannt Rächli",Hans,,,"Abli, genannt Raͤchli",,5548,männlich
Absberg,Georg von,,,"Absperg
Habsperg
Abensperg
Habsberg",Herr; Ritter; Doktor,316,männlich
Achant,Albrecht,,,,,5517,männlich
Achen,Hans von,,vor 1488-04-09 <1488-04-09>,von Ahen,,4301,männlich
Achtsein,Andreas,,,,,4705,männlich
Adelmann (der Jüngere),Georg,,,"Adelman der Júnger
Adilmann
Adilman von Adilmanßvelden
Adilman",,2043,männlich
Adelshofer,Christoph,,,,,10198,männlich
Adrian (von Andrian?),Elisabeth,,,Adrianin,,6660,weiblich
Affer,Hans,,,,,4266,männlich
Affer,Jos,,,"Poten
Afer
Áfer",,2132,männlich
Agtun,Gregor,,,,,1585,männlich
Ahalfing,Eberhard,,,,,13210,männlich
Aich,Konrad von,,,,,5116,männlich
Aichelberg,Burkhard von,,,"Aychelberg
Aichilberger
Aichilwerg
Aichilberg",,1430,männlich
Aichelberg,Ludwig von,,,,,11946,männlich
Aichhorn,Christian,,,,,2262,männlich
Aichhorn,Hans,,,Aichoren,,10391,männlich
Aichhorn,Heinrich,,,Aichorn,,5281,männlich
Aichhorn,Hermann,,,Aichorn,,6142,männlich
Aichhorn,Martin,,,"Aychorn
Aichorn",,2261,männlich
Aichhorn,Michael,,,Aichorn,Doktor,4221,männlich
Aichhorn,N.,,,,,7996,männlich
Aichhorn,Sigmund,,vor 09.12.1489 <1489-12-08>,,,2597,männlich
Aigner,Kaspar,,,,,2754,männlich
Aininger,Anna,,,,,11148,weiblich
Aininger,Hans,,,"Ayninger 
Amynger",,11147,männlich
Alber,Erasmus,,,,,12641,männlich
Alber,Konrad,,,,,1344,männlich
Albersberger,Jörg,,,Albersperger,,12058,männlich
Albertshauser,Martin,,,"Albertzhauser
Abertshauser",Meister,4618,männlich
Alershauser,Friedrich,,,,,4978,männlich
Alfinger,Erasmus,,,,,6077,männlich
Allmanshofer,N.,,,"Almanßhofer
Almanshofer",,4490,männlich
Alpershofer,Jobst,,,Alpershover,,2226,männlich
Alt,Erhard,,,,,5556,männlich
Altenburg,Heinrich,,,Altnburg,,10447,männlich
Altmannshofen,Berthold von,,,"von Altmanshofen
Altmanshoven",,5197,männlich
Altmannshofen,Georg von,,,von Altmanshofen,,5157,männlich
"Altspaur, genannt Reiff",Hans von,,,"Altspaẃr
Altspaẅr
Altspawr",,3183,männlich
Amberl,Thomas von,,,,,4982,männlich
Ambrosii,Wilhelm,,vor 06.05.1473 <1473-05-05>,Ambrosy,,4361,männlich
Amen,Michael,,,,,4798,männlich
Amering,Andreas,,,Amringer,,6316,männlich
Amersbach,Thomas,,,Amerspach,,11313,männlich
am Eschnerberg,Hans Erhard,,,,,8198,männlich
am Fisch,Kaspar,,,am Visch zu Triendt,,7278,männlich
am Land,Hans,,,am Lannd,,9187,männlich
Ammann,Jobst,,,Amman,,3610,männlich
Ammann,Jörg,,,Amman,,8572,männlich
Ammann,Jos,,,Ammon,,2336,männlich
Ammann,Matthias,,,"Aman
(Dӱschen)
(Týsen)
(Theis)
(Teÿs)
Aman von Veltkirch",,1851,männlich
Ammann,Stoffel,,,Aman von Chur,,13430,männlich
Ammann,Ulrich,,,"Vogt zu Belfort
Amman
Amann",,1605,männlich
Ammann (Frau des Jörg Ammann (Lauingen)),N.,,,,,13373,weiblich
